Subject,Game,Trial,Condition,condition_label,latency,type,reveal_idx,type_match,current_deck,current_reward,value_card1_snapshot,value_card2_snapshot,value_card3_snapshot,best_deck_snapshot,value_gap_snapshot,count1_before,count2_before,count3_before,count1_after,count2_after,count3_after,total_count_before,total_count_after,count_var_before,count_var_after,count_range_before,count_range_after,imbalance_change,range_change,current_deck_was_least_sampled_before,current_deck_is_best_snapshot,n_reveals_in_game,game_complete_6,acc_theta_channel_sd_full,acc_theta_early_mean,acc_theta_early_peak,acc_theta_mid_mean,acc_theta_mid_peak,acc_theta_late_mean,acc_theta_late_peak,acc_theta_full_mean,acc_theta_full_peak,acc_theta_full_auc,acc_theta_full_peak_time,acc_theta_bin1,acc_theta_bin2,acc_theta_bin3,acc_theta_bin4,acc_theta_bin5,vmpfc_theta_channel_sd_full,vmpfc_theta_early_mean,vmpfc_theta_early_peak,vmpfc_theta_mid_mean,vmpfc_theta_mid_peak,vmpfc_theta_late_mean,vmpfc_theta_late_peak,vmpfc_theta_full_mean,vmpfc_theta_full_peak,vmpfc_theta_full_auc,vmpfc_theta_full_peak_time,vmpfc_theta_bin1,vmpfc_theta_bin2,vmpfc_theta_bin3,vmpfc_theta_bin4,vmpfc_theta_bin5,acc_alpha_channel_sd_full,acc_alpha_early_mean,acc_alpha_early_peak,acc_alpha_mid_mean,acc_alpha_mid_peak,acc_alpha_late_mean,acc_alpha_late_peak,acc_alpha_full_mean,acc_alpha_full_peak,acc_alpha_full_auc,acc_alpha_full_peak_time,acc_alpha_bin1,acc_alpha_bin2,acc_alpha_bin3,acc_alpha_bin4,acc_alpha_bin5,vmpfc_alpha_channel_sd_full,vmpfc_alpha_early_mean,vmpfc_alpha_early_peak,vmpfc_alpha_mid_mean,vmpfc_alpha_mid_peak,vmpfc_alpha_late_mean,vmpfc_alpha_late_peak,vmpfc_alpha_full_mean,vmpfc_alpha_full_peak,vmpfc_alpha_full_auc,vmpfc_alpha_full_peak_time,vmpfc_alpha_bin1,vmpfc_alpha_bin2,vmpfc_alpha_bin3,vmpfc_alpha_bin4,vmpfc_alpha_bin5,acc_beta_channel_sd_full,acc_beta_early_mean,acc_beta_early_peak,acc_beta_mid_mean,acc_beta_mid_peak,acc_beta_late_mean,acc_beta_late_peak,acc_beta_full_mean,acc_beta_full_peak,acc_beta_full_auc,acc_beta_full_peak_time,acc_beta_bin1,acc_beta_bin2,acc_beta_bin3,acc_beta_bin4,acc_beta_bin5,vmpfc_beta_channel_sd_full,vmpfc_beta_early_mean,vmpfc_beta_early_peak,vmpfc_beta_mid_mean,vmpfc_beta_mid_peak,vmpfc_beta_late_mean,vmpfc_beta_late_peak,vmpfc_beta_full_mean,vmpfc_beta_full_peak,vmpfc_beta_full_auc,vmpfc_beta_full_peak_time,vmpfc_beta_bin1,vmpfc_beta_bin2,vmpfc_beta_bin3,vmpfc_beta_bin4,vmpfc_beta_bin5,acc_low_gamma_channel_sd_full,acc_low_gamma_early_mean,acc_low_gamma_early_peak,acc_low_gamma_mid_mean,acc_low_gamma_mid_peak,acc_low_gamma_late_mean,acc_low_gamma_late_peak,acc_low_gamma_full_mean,acc_low_gamma_full_peak,acc_low_gamma_full_auc,acc_low_gamma_full_peak_time,acc_low_gamma_bin1,acc_low_gamma_bin2,acc_low_gamma_bin3,acc_low_gamma_bin4,acc_low_gamma_bin5,vmpfc_low_gamma_channel_sd_full,vmpfc_low_gamma_early_mean,vmpfc_low_gamma_early_peak,vmpfc_low_gamma_mid_mean,vmpfc_low_gamma_mid_peak,vmpfc_low_gamma_late_mean,vmpfc_low_gamma_late_peak,vmpfc_low_gamma_full_mean,vmpfc_low_gamma_full_peak,vmpfc_low_gamma_full_auc,vmpfc_low_gamma_full_peak_time,vmpfc_low_gamma_bin1,vmpfc_low_gamma_bin2,vmpfc_low_gamma_bin3,vmpfc_low_gamma_bin4,vmpfc_low_gamma_bin5,acc_high_gamma_channel_sd_full,acc_high_gamma_early_mean,acc_high_gamma_early_peak,acc_high_gamma_mid_mean,acc_high_gamma_mid_peak,acc_high_gamma_late_mean,acc_high_gamma_late_peak,acc_high_gamma_full_mean,acc_high_gamma_full_peak,acc_high_gamma_full_auc,acc_high_gamma_full_peak_time,acc_high_gamma_bin1,acc_high_gamma_bin2,acc_high_gamma_bin3,acc_high_gamma_bin4,acc_high_gamma_bin5,vmpfc_high_gamma_channel_sd_full,vmpfc_high_gamma_early_mean,vmpfc_high_gamma_early_peak,vmpfc_high_gamma_mid_mean,vmpfc_high_gamma_mid_peak,vmpfc_high_gamma_late_mean,vmpfc_high_gamma_late_peak,vmpfc_high_gamma_full_mean,vmpfc_high_gamma_full_peak,vmpfc_high_gamma_full_auc,vmpfc_high_gamma_full_peak_time,vmpfc_high_gamma_bin1,vmpfc_high_gamma_bin2,vmpfc_high_gamma_bin3,vmpfc_high_gamma_bin4,vmpfc_high_gamma_bin5,subject_file_id
6,2,1,1.0,equal,72.0029999999997,11,1,True,1,39.0,39.0,56.0,33.0,2,17.0,0,0,0,1,0,0,0,1,0.0,0.33333333333333337,0,1,0.33333333333333337,1,1,0,6,True,1.5448365583179158,-0.6780795314798322,-0.09266140054848862,-0.7912734101678707,0.39214879007113035,0.3830416518237234,0.43578051487274977,-0.3395340655457196,0.43578051487274977,-0.23722853784062134,0.624,-1.0673797792152921,-0.7849295231684669,-0.8645739205485528,0.3321393048965481,0.39128340436541076,0.6147491834916526,0.024589104046321576,0.44293552575801787,0.4011550107367455,0.5810060071646479,0.3582130536762913,0.5022739630859859,0.27822833844646194,0.5810060071646479,0.19489567384880974,0.452,-0.42743379667115355,0.35676053823472365,0.38378447678531413,0.38170833775475094,0.3949758757091974,1.0477219198076677,-0.42630423255507244,0.20321739667997377,-0.17994824791000738,0.3763242409305692,-0.2089475755155661,0.3810346123323425,-0.26069257481058244,0.3810346123323425,-0.18272112582328717,0.745,0.08774263311122324,-0.7146452248741083,0.13915456174437923,-0.5795744476082928,-0.06688829934146791,0.8380970242765423,-0.0037787570503612583,0.2096615618625789,0.15059069495194227,0.5423561252735632,-0.21150651818726102,0.36834659927066177,-0.02283529602700277,0.5423561252735632,-0.015929109724245844,0.479,-0.08170024091319338,0.023287828544574854,0.04415908776710881,0.2260038944924712,-0.4252368026648767,0.18821230750241244,-0.04677619149886114,0.4551124226993858,0.000628122326165343,0.553524389791578,-0.3146333469569293,0.2640178545057171,-0.12550934922494728,0.553524389791578,-0.08793935601280461,0.44,0.020514658635239356,-0.10409326613921273,0.25005179994016513,-0.34013278333994673,-0.3930881325866986,0.31095929695987695,-0.1447272476241852,0.39352986537303125,0.05858631757066367,0.5350334202948211,-0.03691419731671749,0.3641781210220986,-0.03361059923050066,0.5350334202948211,-0.023682826387786196,0.43,-0.01430598059693878,-0.1386049877810254,-0.055142763621278484,0.0907120692096879,-0.026642477389600298,0.174951256295419,-0.019300552771334495,0.5366309072776415,0.0854734776379582,0.6120453671997705,0.0769383780089415,0.8864868174543528,0.05248979051065429,0.8864868174543528,0.036632365037819456,0.726,0.00032910121832941064,0.023888311864785995,0.017311525252135126,0.11043309329163954,0.049292273793693366,0.3062398638642406,-0.03575913502731534,0.5067852251904323,-0.15599902226827994,0.30746239450228086,-0.15868188129387029,0.44184145430250205,-0.12260293270857239,0.5067852251904323,-0.08571608064106633,0.089,-0.0853485733174045,-0.13662674479856965,-0.05541639666032677,-0.30635892214717114,-0.04016243111634814,0.1274987425967224,-0.08263189482736459,0.6518306265322047,0.1421070207398579,1.0181019947042993,0.20739808636497195,1.0267468595360796,0.10121413972962082,1.0267468595360796,0.07121391512351521,0.728,0.020632600182475497,-0.09206134573483678,0.1846723030808165,0.12382568119419378,0.2530202528897129,0.24618497192246516,-0.17980810630127422,0.37412665459303074,-0.16935864334175882,0.44546584985553295,-0.06123732767036364,0.8050420686623119,-0.13372944859040772,0.8050420686623119,-0.09332739792899791,0.624,-0.1367515264683171,-0.2245601660980113,-0.15256795325474956,-0.07397167313345909,-0.10536192385329964,6
6,2,2,1.0,equal,73.79499999999962,12,2,True,2,58.0,45.0,58.0,48.0,2,10.0,1,0,0,1,1,0,1,2,0.33333333333333337,0.33333333333333337,1,1,0.0,0,1,1,6,True,1.3070075409691666,0.04736600137945543,0.24682775206804283,0.23376732005332415,0.6838843874025844,0.5813409894371957,0.866864446156413,0.3046432537836013,0.866864446156413,0.21335526380005937,0.571,-0.11970895214561249,0.07594082954337908,0.21977438562774276,0.6688239444244641,0.513949313266359,0.5966779015046602,0.007838806692291717,0.16242201814354706,0.0482386575322653,0.33113866964819755,-0.2683181812180879,-0.08890523375100859,-0.07636017083285332,0.33113866964819755,-0.053386450216646994,0.329,0.05947748567142701,0.04013161961854617,0.1348559473713817,-0.21474498583919038,-0.3493013913880125,0.6086567609789522,0.3946953654978455,0.7647292446479286,0.08193327108314138,0.7649394463427792,0.35750125805395017,0.638082007832329,0.2697110076912028,0.7649394463427792,0.1887323503078315,0.25,0.3059556293271131,0.5088249203645013,-0.04995860391924252,0.19571452219672014,0.3783701054921256,1.0610490830868444,-0.15159746103207278,0.1502741627152266,0.13691481303125294,0.33444250427226535,0.12714094240526252,0.24689744236503502,0.05099206664673473,0.33444250427226535,0.035956426583466886,0.314,-0.34710033693972026,0.10594228102789771,0.146083813845315,0.08021694719445825,0.15382225425067683,0.4021032885720681,-0.22773937042789935,0.3566369933512541,0.10184631489293801,0.5396761788454352,-0.1274915691885456,0.5525267030593703,-0.07422741094211678,0.5525267030593703,-0.051738176787910976,0.637,-0.2360345007240645,-0.025223475295494627,0.016468188153364004,-0.08481215837685792,-0.006815194591079787,0.4023443786771836,-0.350231178469288,0.03925496713252109,-0.16503357450413647,0.11868770127704154,0.06139773367200543,0.5187738814107863,-0.13707885128841485,0.5187738814107863,-0.095648599989954,0.676,-0.12599129109237006,-0.36441569786432604,-0.1378060477076749,-0.08641357491162995,0.1287454595187877,0.1616229814216684,-0.2341631174724018,0.22019188807658216,-0.10997801535621297,0.6740356515619421,-0.03087370226086769,0.7078935347445651,-0.11720793271250071,0.7078935347445651,-0.08212983678723423,0.502,-0.21076196735469646,-0.15604825477937947,-0.24712945565317662,-0.034953213524965714,0.026989477395653445,0.3429997410323785,-0.1416519143098814,0.28008962760350625,0.07069391040181726,0.4817870623977256,-0.04555270137490073,0.4290392783511992,-0.031492972293210145,0.4817870623977256,-0.02192951714229851,0.342,-0.2144754165104656,-0.12622753933670108,0.12002547324080479,-0.04175477192886391,0.013773819035634011,0.17051991761341698,0.020604243759114304,0.5857687305929409,0.01038516388589913,0.7451203012688654,-0.20630019399968372,0.7856956296423889,-0.06408272682374756,0.7856956296423889,-0.0454502158597466,0.748,0.008456769630847471,-0.034669774303152746,0.05691307714504852,-0.1801292922152024,-0.13046526687876073,0.2882531942072982,-0.11403924430817872,0.2810057205567239,0.0794395702665015,0.6570625601141075,-0.1818195192133818,0.31182006548863883,-0.0691469087119369,0.6570625601141075,-0.04822870448806347,0.451,-0.13976307315022485,-0.05597680536711649,0.04601156423009823,-0.057000995708131205,-0.16683824018757362,6
6,2,3,1.0,equal,75.07499999999982,13,3,True,3,49.0,44.0,62.0,49.0,2,13.0,1,1,0,1,1,1,2,3,0.33333333333333337,0.0,1,0,-0.33333333333333337,-1,1,0,6,True,0.8139422285602963,0.00033980934522691796,0.7122253939627579,0.17931864493817262,0.7271636302532829,-0.25664145854819226,0.2619980273066736,-0.02751820219065646,0.7271636302532829,-0.019277558193810652,0.265,-0.32722658488427653,0.48100434207141024,-0.013895719198218153,0.09493478549039866,-0.44591469717337673,0.6836876247657446,0.19292406872645138,0.42867991390594107,0.05860712265845363,0.18137458909745724,-0.06630149971788862,0.12471471729230602,0.05237317068633071,0.42867991390594107,0.036777933224299196,0.05,0.3503423864159338,0.05255985446777359,0.07616990490894632,0.04141578054262149,-0.1197095317354163,0.8234727018138805,0.17561662827391397,0.8179044445158892,0.19470598790505278,0.730261599343694,0.1078562298620428,0.5673994669933015,0.15823411442365243,0.8179044445158892,0.11101263342986765,0.194,-0.38547526909488383,0.564048237834458,0.08615963142797431,0.022756490142184765,0.26922629257314545,0.8617769380596614,-0.559353645336606,-0.18467415463038492,-0.10208262838241532,0.515510283994986,0.2362094863124673,0.6164959459002347,-0.11191287797829726,0.6164959459002347,-0.07805333718303044,0.556,-0.6551473807977634,-0.3045706389489186,-0.22635819254764442,0.5180401514736818,0.013628724576018918,0.3208308124919977,-0.22633285618735854,0.19864554508392035,-0.39727274473496516,-0.03555964320439631,-0.4525043550245783,0.5729760642525231,-0.3681583516819403,0.5729760642525231,-0.25717396387084634,0.564,-0.1326325399399018,-0.33204830040472993,-0.41290756173127036,-0.16345638259929726,-0.7414115059645746,0.4589600673772523,-0.3282574237425058,0.04831673429865641,-0.10866147153469827,0.30278831082080676,-0.16692769978732525,0.2667248826855093,-0.19221253939858168,0.30278831082080676,-0.13435936554741787,0.293,-0.20821845194276883,-0.23798959359426974,-0.14267272626800595,-0.31249512227062975,-0.04526211718526757,0.1374694714560509,0.009248707892606088,0.7690327070285158,-0.21531652870532228,0.5274003599471424,-0.2676560201264711,0.5210109981880456,-0.16984770804203883,0.7690327070285158,-0.11895597339250613,0.152,0.13529553751263015,-0.2842215520416633,-0.09544255909871181,-0.14921762307762818,-0.28862199178027376,0.3287070195350376,0.08431138181614264,0.5053725529241483,-0.041210964045821884,0.43266869032594885,-0.2507538803020872,0.46278921744363855,-0.08018419246249821,0.5053725529241483,-0.05651878127505331,0.161,0.14838806543013813,0.17074773555169417,-0.11323192039818364,-0.23936667112486457,-0.2027927621275636,0.22281939932897177,-0.031989109985013656,0.8146061625174692,-0.00910042685087432,0.6503674509587503,0.07516454470737714,0.7003219732502971,0.014454582095889972,0.8146061625174692,0.010670830269538833,0.175,-0.07852661583820338,0.049936387197692465,0.027919697111405628,0.09024024500840172,-0.01963336438829885,0.22504047440678657,0.07187584305378104,0.7065219921757807,-0.17065260172184119,0.6839409522787832,0.018243056901161167,0.779268185305354,-0.03389602513487681,0.779268185305354,-0.02353340268142161,0.571,0.22479076912178822,-0.015127165391932958,-0.2507579489720699,-0.03312972985628068,0.0042467087685370865,6
6,2,4,1.0,equal,76.86699999999973,14,4,True,2,55.0,51.0,55.0,61.0,3,6.0,1,1,1,1,2,1,3,4,0.0,0.3333333333333333,0,1,0.3333333333333333,1,1,0,6,True,0.5257535041556406,1.630461635589183,1.92812120238362,-0.45496463839474843,0.6324422289977578,0.29430285434939085,1.1224075936933358,0.408466973009281,1.92812120238362,0.2846342826838719,0.131,1.559193832334017,1.0081595356234545,-0.7907848666570679,0.2683527022437923,0.22203165419259033,0.9898033954934351,0.3761354734916831,0.5032968023419,0.23673444718810427,0.4249470738831737,-0.3654804678584657,0.11015100894160204,0.06148655647249478,0.5032968023419,0.04311598807681301,0.188,0.07218671691348141,0.3974417431550362,0.29717631026105956,-0.08840567285458029,-0.49440476479774614,0.6422229692951045,0.3478420289563474,0.8923668676976317,-0.07549866408311179,0.2901897689177061,-0.04309470615620687,0.4584271607588085,0.05702866175919982,0.8923668676976317,0.039570070582386804,0.05,0.7357120589091667,0.11805035878419325,-0.06321026092730339,-0.21701145488952028,0.020992886414495062,1.0200884360666413,0.6096140150440488,0.7881486337572395,0.11300053002866738,0.5917984026064048,0.0583608891303512,0.4905372928026666,0.23537593971223475,0.7881486337572395,0.1644542663297411,0.206,0.3672239250606213,0.5609602987613204,0.09305567281323372,0.19354666975630203,-0.09023461297743315,0.4696659376501809,-0.1598440056327567,0.28513540183701747,-0.3043358914235038,0.16929805686849808,-0.24655460588793177,0.5460710834295988,-0.242416322077729,0.5460710834295988,-0.16960031398528724,0.546,0.09353981130079941,-0.25953922515197275,-0.2605632786522688,-0.15609785122325268,-0.43774109358396296,0.3483164303025653,-0.34222571801759416,0.06729394756971906,-0.13202124221493788,0.21956319326793508,0.04928768678361623,0.4704064844367613,-0.12732647494478463,0.4704064844367613,-0.08916932453927344,0.631,-0.20500058905197532,-0.353113784016769,-0.11459909250576658,-0.06324304288990854,0.09699898365785657,0.13679327453231108,-0.2212935142630376,0.4775243417664931,-0.18065145545570513,0.5228666271866862,-0.1446044919362693,0.35034742469893215,-0.17938955671514442,0.5228666271866862,-0.12559839906365267,0.279,-0.12739139410600112,-0.1740823248086245,-0.18443830861714686,-0.2586870692050793,-0.10482486330609184,0.30862043233129094,0.03398430147726971,0.45740949128330577,-0.08458177508300518,0.36753893930474035,-0.2128675083963396,0.2088444611348357,-0.09652208653483188,0.45740949128330577,-0.06771387896648737,0.207,-0.0608031241540743,0.07602034800680853,-0.07397577593732187,-0.2862625110723498,-0.11199117391710481,0.19464012239246556,-0.32637604542870585,0.2701787305672802,-0.015051134660480721,0.6784372382433566,0.11107901492240838,0.8701575272280394,-0.058954627171799154,0.8701575272280394,-0.04145234976872356,0.687,-0.13468603615608937,-0.2457356647195138,-0.004291722431471004,0.08384008392062905,0.10778418313565762,0.25282879392519314,0.005643564779757063,0.4999570982267876,-0.0460024703505671,0.4318574153374051,-0.11167861250325506,0.7057651822127616,-0.05470222536786305,0.7057651822127616,-0.03814551541083547,0.545,0.08223819288233397,-0.07684820869582643,-0.06453152663900197,0.04223805413315619,-0.21464294591648814,6
6,2,5,1.0,equal,78.40299999999979,15,5,True,3,61.0,45.0,60.0,61.0,3,1.0,1,2,1,1,2,2,4,5,0.3333333333333333,0.3333333333333333,1,1,0.0,0,1,1,6,True,0.7005988599749978,0.7010422453902627,1.4656169592264314,1.5059526283419113,1.7860631811435066,0.7506950945616211,1.1997569832879522,1.0062433997199085,1.7860631811435066,0.7043660687670886,0.374,-0.05937272946773342,1.349111527651079,1.6344010054804194,0.7041668608609924,0.9182923709833418,1.163912594712906,0.16770056804993108,0.4567324367884164,0.4004614147330984,0.5885344178378565,-0.4353627887249274,0.05547283371963434,0.03544967158861291,0.5885344178378565,0.024683142202763617,0.351,0.13246810535140363,0.3239591002354418,0.49226461511573744,-0.2331872460777744,-0.484191994663299,0.7880705317383436,0.43752649945033917,1.0531920386328104,0.8393547051063732,1.1038164410284392,0.4218274323906421,0.9196307165277059,0.5754297632347449,1.1038164410284392,0.40250554648000425,0.279,0.2571169924045988,0.8003216378856929,0.7742085375618297,0.7289186686012183,0.2352295135533846,0.7662812684568033,0.22482921400453357,0.5973043202162825,0.03649535687115251,0.22443391280440084,-0.370487690292835,0.11290716335048778,-0.05504605793501988,0.5973043202162825,-0.03876178227931904,0.069,0.4251134983425737,-0.06423281060394082,0.07456114281528926,-0.16037335457036106,-0.4172531355675017,0.2873308122267444,-0.2795390005954994,0.16380138014133744,-0.2783608244864902,0.22298152002420368,0.06623146631319796,0.5028779197014805,-0.15562877094631863,0.5028779197014805,-0.10882220531322415,0.691,-0.4634134440182338,-0.26760528490870006,-0.24728614591848763,-0.12413166855759977,0.127450418804143,0.27050543736310284,-0.13132787994970538,0.1732908844092176,0.16203260523242397,0.43173505530232803,-0.02658332832236852,0.3936777109379646,0.010852490339389684,0.43173505530232803,0.00768870958491485,0.488,-0.04013917632423238,-0.07614704475539591,0.15033673833885897,0.19640096616370392,-0.12631064667226494,0.19130907269351108,-0.060657499816261694,0.4046283027143406,0.042373252606581494,0.6192187867040952,0.20324242046211177,0.9725962758133286,0.07038916900560135,0.9725962758133286,0.04932332226747704,0.617,-0.1777059827339784,-0.0966234895153745,0.12102327892138111,0.08975769562460498,0.25623804548778994,0.23057568110306706,-0.13713403752527284,0.35840458472474307,0.09742101342287243,0.4633008043559522,0.09979386941681194,0.5947175812571595,0.0312527331498093,0.5947175812571595,0.022016696295688476,0.671,-0.2482245435656262,-0.03766951875524745,0.15479302461614122,0.11655373200162465,0.08801386778861262,0.22812931185794894,-0.17897301125718193,0.28269905077827145,0.12838281117135641,0.7025695848193709,0.16499240978956475,0.8044157580982818,0.05364171855541985,0.8044157580982818,0.03784853220449225,0.599,-0.24167409967002168,-0.1260927600716926,0.1576340107001506,0.1978814077293382,0.12623478233443555,0.23062669220951637,0.06009754270368943,0.39885549504896567,0.13091079622786217,0.691204626104566,0.11041412020929206,0.7069767907695984,0.10335819664289468,0.7069767907695984,0.07213952594800398,0.68,0.05109691126287081,0.04863403738218379,0.12072602701641685,0.012970482133855316,0.2469815545737976,6
6,2,6,1.0,equal,80.19499999999971,16,6,True,1,30.0,30.0,60.0,53.0,2,7.0,1,2,2,2,2,2,5,6,0.3333333333333333,0.0,1,0,-0.3333333333333333,-1,1,0,6,True,1.3194717202023172,0.911757027762105,1.5075178294658005,0.1205503431923299,1.2794990397088437,0.9311808438172583,1.485209422008215,0.6361202890068826,1.5075178294658005,0.4450240617910197,0.05,1.2610235156079204,0.5462988222336762,-0.2365528868431881,1.250563815813509,0.6220916798811587,0.9150523435939144,0.7141902263550434,0.8778690068808861,0.09785475355899796,0.28290282390711013,0.005924834658819569,0.1731082992338906,0.24111848903637614,0.8778690068808861,0.16865100350964787,0.092,0.8444659002133436,0.4778900113291642,0.14304088418874134,-0.0006502354482918064,-0.05718568325676214,1.2969411343861987,0.05488893994744747,0.2220284578906454,0.34621536682026954,0.48466480419437974,0.18991326476712428,0.4457180161207245,0.2071570655519115,0.48466480419437974,0.14500979305961323,0.313,-0.06487520124135421,0.18598626136711302,0.38691519860751017,0.2967551048462138,0.09054006619602713,0.7449659352910543,0.43007003207085875,0.6981512390374792,-0.06134243745478611,0.2020952123972857,0.22174014572418155,0.6249850609112725,0.18016204783074383,0.6981512390374792,0.1258625314166099,0.05,0.5896079943961131,0.21751427114231728,-0.060187836705419016,-0.0962154152382536,0.41528784291304693,0.4111710420690347,-0.5070431446676679,0.08722981733859347,-0.1835671236892372,0.62600355370345,-0.5398696607467968,0.034414715156714765,-0.4032397500607745,0.62600355370345,-0.281918230656362,0.401,-0.6272548664439674,-0.3616989970182402,-0.08001063975934297,-0.4213770987437847,-0.5662370100708298,0.2992940200361742,-0.12987346848196016,0.4356590513287975,-0.02448048313806078,0.3549567282827666,-0.16664759405147855,0.19399184410315673,-0.10536673284825261,0.4356590513287975,-0.07361622899496686,0.084,0.12629805177623793,-0.2404326691072935,-0.10315782072397323,-0.039110678425245404,-0.17149255808071642,0.1918405536734345,0.055434134689689885,0.9078213587303753,-0.15836819869740565,0.45473692087138795,-0.15613105047905715,0.3824259301918124,-0.096482836223111,0.9078213587303753,-0.06786354782542911,0.182,0.13579092893595718,-0.04923281251263936,-0.15663522807288152,-0.2056811852875718,-0.08752205151192853,0.3213147415701074,-0.029577531061245207,0.2761837993871701,-0.11935530941688002,0.4418572244968755,-0.11734207943746296,0.3091848355775772,-0.09298550489404973,0.4418572244968755,-0.064887812745115,0.43,0.05075643924095619,-0.05748548738513315,-0.04680669771388724,-0.2594409574600019,-0.08054010113743336,0.1742670204863647,0.06062394464939023,0.7332690280301706,-0.04732511722549517,0.6127809040394994,-0.12802796975762226,0.6972422733080041,-0.045304975451287616,0.7332690280301706,-0.03176402659791425,0.109,0.04601520971890405,0.029721550705685402,-0.05547419079028483,-0.018821686064977458,-0.18661169387581866,0.2418397863251819,-0.0359288182361052,0.5320695452942028,-0.018529043207327192,0.7186144166776544,0.05038378854871618,0.48081364536911836,0.0011113181258945507,0.7186144166776544,0.0009468420358929598,0.458,-0.03703007809014796,-0.04987669522497691,-0.0176800947225199,0.016496074221035835,0.13371028429294815,6
6,3,1,2.0,unequal,86.08299999999963,11,1,True,1,39.0,39.0,28.0,19.0,1,11.0,0,0,0,1,0,0,0,1,0.0,0.33333333333333337,0,1,0.33333333333333337,1,1,1,6,True,0.8124107858025967,0.037792838768155715,0.5860270863416057,-0.1748726036051918,0.24270137492778582,0.11929660150517325,0.806558295994854,-0.009050618244819257,0.806558295994854,-0.00703172546254166,0.749,0.40925402219934487,-0.08539168753566274,-0.09236073912020419,-0.5023082889254742,0.43023471736201124,1.7263703478763626,0.24159727643778775,0.7199989449250712,0.5406377095980424,1.1343287852825399,0.7091474737154148,1.1887294145687217,0.5153796444513163,1.1887294145687217,0.36037188240073953,0.518,0.24507163275255656,0.5203413572468225,0.37958431326669984,0.9992745940513575,0.49182780686336663,1.154306134816983,-0.311527251194017,0.057363414553484926,-0.5592027360501637,0.1040045167722185,0.17595602047695827,0.5184874604906007,-0.2258816130458641,0.5184874604906007,-0.15788246618681656,0.592,-0.05037468580996625,-0.535440181830536,-0.6724630532522745,0.17576962625852502,0.04962466999361059,1.1317188530283995,0.23627243279090063,0.36893969243100444,-0.28282886539081503,0.07536062605254495,-0.054855618720231585,0.4739572428714676,-0.053095192099402326,0.4739572428714676,-0.037200695240432395,0.693,0.16619638593141198,0.068492404674664,-0.32308923670384754,-0.335637560662886,0.19811062107493552,0.3668073892686232,-0.3380949623036505,0.38741024026799614,-0.027475432786775382,0.34956774998427,-0.3119254633560445,0.79140554662282,-0.21781316642347856,0.79140554662282,-0.15206813274089181,0.554,-0.25373556492427013,-0.4298760759067787,0.027180411878752815,-0.03989892273543545,-0.46278166631807266,0.40281018969135207,-0.141709969994305,0.24596982837646353,0.15708039479343971,0.6399138382001953,-0.2132842949630232,0.38934182982119336,-0.06056138434465271,0.6399138382001953,-0.04199152962633553,0.35,-0.3058245753940073,-0.039717168890835625,0.36711769431170094,-0.260182710998209,-0.21675004453906993,0.21088012378231472,0.08450335150577198,0.9681482771828948,-0.017695779014881955,0.7111810252493117,-0.17160006593778074,0.3843511640344307,-0.04346184419573037,0.9681482771828948,-0.030558627235408697,0.155,0.011528715366002704,-0.09017983528081727,0.20501501147789314,-0.17567818471906274,-0.22746323871602322,0.2801391131825832,0.011397728683992771,0.36801708689371326,-0.05089551199925593,0.3583872766222256,0.09339072736113645,0.5343437553887287,0.01843335653895525,0.5343437553887287,0.012692231429112407,0.602,-0.10408847183308371,0.0087449438556175,-0.09512288238787549,0.05348109476736907,0.1436335797996458,0.17177614518941264,-0.0303174292158747,0.5334379270920607,0.041300012990190066,0.8751509730374237,0.007847124668504188,0.7068254133102488,0.008890426530712323,0.8751509730374237,0.006369846739455001,0.312,-0.21853231558305783,-0.04769980965486772,0.01583542763161799,0.0430328138238448,0.0508006704522696,0.21236312066705088,-0.0635724194049767,0.6192239676881964,0.009821221139117112,0.6709572930621285,-0.051400548210862027,0.5043530448936284,-0.033013308069902235,0.6709572930621285,-0.02327677941468995,0.321,-0.06291110896485717,-0.07981858251519265,0.015882554086993947,-0.042501632429839564,-0.007058181392795011,6
