Game,alpha,gamma,omega,beta,Q_Deck_1,Q_Deck_2,Q_Deck_3,I_Deck_1,I_Deck_2,I_Deck_3,I_transformed_Deck_1,I_transformed_Deck_2,I_transformed_Deck_3,V_Deck_1,V_Deck_2,V_Deck_3,Softmax_Prob_Deck_1,Softmax_Prob_Deck_2,Softmax_Prob_Deck_3,Chosen_Deck,Chosen_Prob,Weighted_I_transformed_Deck_1,Weighted_I_transformed_Deck_2,Weighted_I_transformed_Deck_3
1,0.0783408433198928,1.847071886062622,0.8162781000137329,2.043585538864136,2.1935436129570007,13.412620641744017,2.036861926317215,1.0,4.0,1.0,1.0,12.94339138633563,1.0,1.3772655129432678,2.847213713171852,1.220583826303482,0.0456801614970877,0.9211556154993502,0.0331642229114465,2,0.9211556154993502,0.8162781000137329,10.565406928572164,0.8162781000137329
2,0.0782165974378585,1.8534296751022337,0.823566734790802,2.043585538864136,5.158349614736757,8.48364101582217,8.304051748541399,2.0,2.0,2.0,3.613582106599219,3.613582106599219,3.613582106599219,2.1823235983063705,5.507614999391784,5.328025732111012,0.0006604657457465,0.5903451715201474,0.4089943626750715,3,0.4089943626750715,2.9760260164303864,2.9760260164303864,2.9760260164303864
3,0.0782423466444015,1.847471833229065,0.8180280923843384,2.043585538864136,13.15775873634396,0.0,4.475495561425969,4.0,0.0,2.0,12.95056976834498,0.0,3.598690007258889,2.563828853454432,0.0,1.5316660397053994,0.8876070228762831,0.0047073519639011,0.107685625071055,1,0.8876070228762831,10.593929882889528,0.0,2.94382952172057
4,0.078093022108078,1.853388786315918,0.8271687030792236,2.043585538864136,11.48965563567041,0.0,3.5332452116858044,2.0,0.0,4.0,3.613479692098169,0.0,13.057235485205878,8.500698325154454,0.0,-7.267291330411959,0.9999999713584192,2.8541570562993263e-08,1e-10,1,0.9999999713584192,2.988957310515955,0.0,10.800536542097763
5,0.0780830979347229,1.8483779430389404,0.8217323422431946,2.043585538864136,0.0,16.424809641203996,6.915378321938832,0.0,4.0,2.0,0.0,12.966847652733842,3.600950937285017,0.0,5.769531548012347,3.956360473940788,7.394069854846208e-06,0.9759918798282132,0.0240007260043327,2,0.9759918798282132,0.0,10.655278093191649,2.9590178479980436
6,0.0782603397965431,1.8555735349655151,0.8186154961585999,2.043585538864136,13.714021569474856,0.0,4.36760864621753,4.0,0.0,2.0,13.096841943983632,0.0,3.618955919044004,2.992743803389935,0.0,1.4050752509732205,0.9604357545721371,0.0021200912587871,0.0374441540730321,1,0.9604357545721371,10.721277766084922,0.0,2.9625333952443094
7,0.0780561789870262,1.856835961341858,0.8261060118675232,2.043585538864136,7.069199073346058,0.0,6.25673398043572,2.0,0.0,4.0,3.622124062525321,0.0,13.119782724324937,4.076940609563874,0.0,-4.581597402524783,0.9997592451573912,0.0002407340751416,2.066749102541316e-08,1,0.9997592451573912,2.992258463782184,0.0,10.838331382960503
8,0.0782145783305168,1.8583297729492188,0.8248850703239441,2.043585538864136,6.457282844833942,7.70259857785879,4.575328629732068,2.0,2.0,2.0,3.6258764655088833,3.6258764655088833,3.6258764655088833,3.4663514815967127,4.711667214621562,1.5843972664948391,0.072656266265175,0.9257913288301286,0.0015524048121172,2,0.9257913288301286,2.990931363237229,2.990931363237229,2.990931363237229
9,0.0781038329005241,1.8573297262191768,0.8246964812278748,2.043585538864136,5.7638865760764855,9.882691332906475,6.483922817944197,2.0,2.0,2.0,3.623363952926532,3.623363952926532,3.623363952926532,2.775711073890052,6.894515830720043,3.495747315757764,0.0002207868111232,0.9988175605188616,0.0009616525701332,2,0.9988175605188616,2.988175502186434,2.988175502186434,2.988175502186434
10,0.0780467763543129,1.888547420501709,0.8310976624488831,2.043585538864136,0.0,6.462279495199604,9.10215857090196,0.0,2.0,4.0,0.0,3.702622379698657,13.709412486645348,0.0,3.385038690501129,-2.2917021002965168,0.0009891990695715,0.9990016521805642,9.148649964237138e-06,2,0.9990016521805642,0.0,3.0772408046984743,11.393860671198478
11,0.0781334638595581,1.862284779548645,0.824321448802948,2.043585538864136,6.245765239005763,6.732874676800279,0.0,4.0,2.0,0.0,13.219260418060417,3.635830086522253,0.0,-4.651154660913264,3.7357819522769073,0.0,3.599427889121263e-08,0.9995166641221098,0.0004832997836595,2,0.9995166641221098,10.896919899919027,2.9970927245233714,0.0
12,0.0781654566526413,1.8555837869644165,0.8244998455047607,2.043585538864136,8.035435933967104,8.268268946649881,0.0,4.0,2.0,0.0,13.097028081399444,3.618981635957752,0.0,-2.7630616957182514,5.2844191469181485,0.0,7.206221723244165e-08,0.9999795116619552,2.041617582978592e-05,2,0.9999795116619552,10.798497629685354,2.983849799731733,0.0
13,0.0770997107028961,1.936818242073059,0.862817645072937,2.043585538864136,6.754521596782855,0.0,11.470439951507498,2.0,0.0,4.0,3.828603455809979,0.0,14.658204421840114,3.4511349791227803,0.0,-1.1769174687423014,0.999057732910318,0.0008642640284959,7.800296128022669e-05,1,0.999057732910318,3.3033866176600744,0.0,12.647357420249799
14,0.0780716314911842,1.8635116815567017,0.8264915347099304,2.043585538864136,1.639504261314869,7.340165724307596,4.152584896333288,2.0,2.0,2.0,3.638923397605646,3.638923397605646,3.638923397605646,-1.3680351222640956,4.332626340728631,1.145045512754323,8.707904894053421e-06,0.9985111009169894,0.0014801910782654,2,0.9985111009169894,3.0075393835789646,3.0075393835789646,3.0075393835789646
15,0.0751965567469596,1.9711387157440183,0.8605132699012756,2.043585538864136,1.738550865009024,8.971170200304238,0.0,2.0,4.0,0.0,3.920774627398538,15.372473678852147,0.0,-1.635327730159648,-4.257047391556116,0.0,0.0341548563383741,0.0001609271332465,0.9656842164318108,1,0.0341548563383741,3.3738785951686716,13.228217591860354,0.0
16,0.0781675055623054,1.8506650924682615,0.8200722932815552,2.043585538864136,4.266132890350586,0.0,13.669698470805526,2.0,0.0,4.0,3.606664164560064,0.0,13.008026395921744,1.3084075378234097,0.0,3.002176433234979,0.0303680775260969,0.0020949909887984,0.967536931388351,3,0.967536931388351,2.9577253525271763,0.0,10.667522037570548
